PRODUCT_CODE,DESCRIPTION,PRICE
16384,Reynold's grain-free mozzerella cheese,6.74
16383,Fairgrounds ranch dressing,13.41
16382,Schmidt's whole peeled tomatoes,9.33
16381,Dan Allen non GMO enchilada sauce,1.01
16380,Fairgrounds organic plain croutons,2.79
16379,DH Hill lactose-free snack cake,7.16
16378,Thompkins peanut butter,5.47
16377,Stinson bread flour,10.46
16376,Howler ground pork,7.9
16375,Thompkins raw jumbo shrimp,8.81
16374,Leader of the Pack low cholesterol smoked sausage,11.38
16373,Red and White fat-free grape jelly,5.75
16372,Main Campus organic taco shells,10.45
16371,Wolf Leader non GMO canned blackeyed peas,12.85
16370,Wolves Den broccoli,10.36
16369,Hillsborough beef roast,6.13
16368,Ms. Wuf's low-sodium sausage,2.93
16367,Daniels honey mustard,0.07
16366,King's fresh almond butter,9.4
16365,Campus Corner free range extra sharp cheddar cheese,13.12
16364,1812 okra,4.7
16363,Gorman all-natural seasoned croutons,3.58
16362,Wolf Leader fat-free seasoned croutons,2.78
16361,Wolfpack lemon cake mix,8.57
16360,Vet School cholesterol-free smoked turkey wing,9.63
16359,Heckman's non GMO white chocolate pudding,2.39
16358,Tuffy horseradish,8.84
16357,Oval Drive grain-free paper plates,4.65
16356,Pullen Park grain-free cupcake liners,5.95
16355,Wolfpack spicy salsa,2.36
16354,1812 non GMO seasoned croutons,8.3
16353,Leader of the Pack low-sodium cilantro,11.83
16352,Oval Drive gluten-free apple,5.65
16351,Sturgill's canned potatoes,8.4
16350,DH Hill all-natural butterscotch pudding,5.42
16349,Fairgrounds almond butter,6.59
16348,Howler cholesterol-free ranch dressing,5.22
16347,Campus Corner pretzel sticks,10.42
16346,Pullen Park cholesterol-free sourdough bread,2.85
16345,Howling Wolf grain-free pretzels,11.28
16344,Gorman seasoned croutons,1.81
16343,Wolf Leader lactose-free beef roast,9.99
16342,Pack Pup fat-free lite soy sauce,12.94
16341,Centennial plain croutons,7.53
16340,Wolves Den non GMO cheddar cheese,0.47
16339,Avent Ferry lactose-free cabbage,9.77
16338,Western Blvd gluten-free sweet potato,2.14
16337,Main Campus organic okra,3.53
16336,Hillsborough liquid bleach,8.39
16335,Leader of the Pack snack cake,8.09
16334,Centennial fresh peanut butter crackers,6.14
16333,Tuffy canned french cut green beans,14.36
16332,Wolf Leader spaghetti noodles,8.23
16331,Main Campus fresh shampoo,6.42
16330,Stinson low-sodium 8-inch tortilla,4.09
16329,Lake Raleigh lactose-free frozen pepperoni pizza,8.51
16328,Pack Pup whole chicken,11.75
16327,Fairgrounds cage free turkey breast,11.1
16326,Pack Pup cookie dough,3.43
16325,Campus Corner smoky bbq sauce,7.46
16324,Pack Pup gluten-free chocolate chip cookies,13.06
16323,Heil's non GMO sweet pickle cubes,11.25
16322,Reynold's fat-free waffle cones,5.67
16321,North Shore canned potatoes,0.0
16320,Howler canned corn,4.02
16319,Howling Wolf instant mashed russet potatoes,0.07
16318,Talley saltine crackers,4.33
16317,Reynold's turkey legs,8.25
16316,State gluten-free canned carrots,6.29
16315,Campus Corner no sugar added toothbrush,3.53
16314,Mr. Wuf's no MSG added diet cola,8.46
16313,Ms. Wuf's chocolate ice cream,10.62
16312,Engineering organic vanilla wafers,3.76
16311,Centennial grain-free angel hair noodles,4.33
16310,Gorman low-sodium laundry detergent,0.56
16309,King's non GMO ground rosemary,8.5
16308,Pullen Park sharp cheddar cheese,6.63
16307,Lake Raleigh organic sweet pickle cubes,8.39
16306,Engineering all-natural pizza dough,6.94
16305,Hunt grape jelly,11.25
16304,Talley free range sweet potato,2.71
16303,Heckman's no sugar added macaroni and cheese,13.69
16302,Oval Drive plain croutons,13.64
16301,Reynold's whole turkey,4.41
16300,Fairgrounds cage free heavy cream,9.55
16299,Wolves Den grain-free whole black peppercorns,14.8
16298,Heckman's non GMO canned french cut green beans,11.56
16297,Wolves Den orange cake mix,12.73
