PRODUCT_CODE,DESCRIPTION,PRICE
1,1812 basmati rice,5.14
2,Jennings' orange cake mix,4.93
3,North Shore all-natural pork tenderloin,13.21
4,Tuffy no MSG added lime,5.16
5,Leader of the Pack ground chicken,1.01
6,Oval Drive white onion,7.14
7,Tuffy free range pineapple,13.58
8,Talley fresh mild taco sauce,13.67
9,Pullen Park sausage,13.84
10,Dan Allen lactose-free breadsticks,3.03
11,Red and White sharp cheddar cheese,2.52
12,Stinson non GMO enchilada sauce,12.81
13,Leader of the Pack low cholesterol ground basil,10.94
14,Heil's dijon mustard,0.59
15,Hunt pumpkin pie spice,2.55
16,Gorman lamb chop,12.24
17,Main Campus grain-free ibuprofen,6.9
18,North Shore fresh smoked ham hock,12.81
19,Western Blvd organic rosemary leaves,2.68
20,Avent Ferry grain-free snack cake,13.56
21,Ms. Wuf's low cholesterol dinner rolls,12.0
22,DH Hill low cholesterol canned chickpeas,14.54
23,Howler russet potato,9.55
24,Farmer's low-sodium thyme,5.28
25,Centennial beef roast,13.76
26,State low-sodium greek yogurt,2.54
27,Tuffy all-natural hazelnut spread,10.17
28,Belltower orange,5.18
29,Jennings' low cholesterol white rice,2.99
30,Wolves Den pineapple,0.8
31,Heil's all-natural canteloupe,13.0
32,King's organic cooked large shrimp,12.05
33,Pullen Park butter popcorn,11.74
34,Ms. Wuf's syrup,12.17
35,Howler cholesterol-free greek yogurt,14.9
36,State organic kosher pickle spears,3.63
37,Vet School whole chicken,2.55
38,Jennings' italian salad kit,6.02
39,Main Campus no MSG added deli ham,1.99
40,Wolfpack pork chops,6.25
41,Centennial yellow onion,13.12
42,DH Hill fat-free pineapple,12.27
43,Pullen Park smoked turkey leg,7.32
44,Reynold's seasoned croutons,11.74
45,Dan Allen fat-free white onion,1.53
46,Schmidt's grape jelly,6.46
47,Western Blvd gluten-free ground rosemary,4.5
48,Engineering non GMO tomato and basil sauce,2.87
49,Tuffy ground basil,8.7
50,Western Blvd bandages,1.0
51,Campus Corner cholesterol-free cupcake liners,13.27
52,Stinson all-natural green chilis,7.03
53,Wolf Leader all-natural pork chops,7.27
54,Withers chili powder,2.57
55,Vet School gluten-free sweet potato,1.01
56,Poe's marinara sauce,10.79
57,Ms. Wuf's fat-free grape soda,7.73
58,Heckman's organic multigrain sandwich bread,8.81
59,Oval Drive raw jumbo shrimp,13.92
60,Brown's free range bell pepper,8.94
61,Avent Ferry unsalted butter,1.59
62,Howling Wolf all-natural raw large shrimp,4.6
63,Dan Allen fresh russet potato,5.07
64,Avent Ferry cholesterol-free green chilis,14.48
65,Pack Pup spicy brown mustard,1.4
66,Heil's fresh rye bread,8.89
67,Wolfpack all-natural jasmine rice,8.04
68,Engineering half and half,9.79
69,Hunt gluten-free onion powder,5.82
70,Red and White chocolate chip cookies,1.37
71,Thompkins fresh ginger,2.14
72,North Shore mild taco seasoning,8.0
73,Leader of the Pack organic oatmeal cookies,10.48
74,Red and White rye bread,11.47
