PRODUCT_CODE,DESCRIPTION,PRICE
187,Belltower basmati rice,11.53
104,Poe's grain-free sunflower seed butter,9.34
213,Harrelson fresh sour cream and cheddar chips,0.81
156,Howling Wolf smoked ham hock,9.74
38,Farmer's cholesterol-free ground nutmeg,3.74
11,Campus Corner no sugar added eggs,0.82
31,Main Campus chocolate pudding,11.24
30,Witherspoon yellow cake mix,10.4
130,Heckman's no sugar added mayonnaise,13.96
83,Main Campus free range watermelon,12.77
178,Wolf Leader cage free yellow cake mix,2.8
126,Red and White all-natural tonic water,12.09
41,Heil's raw large shrimp,7.4
17,Heckman's no sugar added cheery-o cereal,10.52
10,Withers squash,3.55
244,Harrelson non GMO vanilla frosting,14.9
151,North Shore lactose-free whole nutmeg,2.95
139,Main Campus cholesterol-free cheese popcorn,7.56
108,Centennial fat-free worcestershire sauce,9.3
85,Vet School mild salsa,14.58
240,State birthday cake ice cream,3.87
176,Balik's half and half,5.82
29,Brown's raw jumbo shrimp,3.36
237,Pack Pup all-natural spicy salsa,13.16
226,Reynold's honey mustard,1.38
114,Ms. Wuf's low-sodium beef jerky,10.12
216,Hunt peach jam,8.97
165,Reynold's sweet potato,6.34
111,Brown's low cholesterol applesauce,12.93
206,Tuffy peach jam,6.25
71,Lake Raleigh all-natural diced tomatoes,4.35
232,Western Blvd aspirin,10.2
53,Pack Pup low cholesterol chicken thigh,10.34
255,Balik's grain-free cookie cereal,0.21
143,Lake Raleigh instant mashed russet potatoes,13.75
145,Belltower deli roast beef,11.51
82,Western Blvd cage free yellow onion,7.16
196,State beef jerky,8.32
127,Vet School cinnamon toast cereal,7.9
33,Leader of the Pack pumpkin pie spice,14.09
87,Oval Drive chocolate cake mix,10.21
18,King's gluten-free canned creamed corn,11.06
9,Witherspoon lactose-free eggs,8.9
190,Leader of the Pack lactose-free tomato puree,8.88
224,Pullen Park canned potatoes,4.83
52,Schmidt's smoked turkey wing,13.59
208,Witherspoon black pepper,11.25
100,Avent Ferry low-sodium ground mustard,9.85
96,North Shore fat-free orange marmalade,5.43
186,Vet School ground rosemary,9.03
170,Wolves Den lactose-free cottage cheese,3.1
222,Wolfpack gluten-free cupcake liners,9.54
184,Leader of the Pack organic white bread,11.67
101,Brown's all-natural ground basil,7.9
59,Mr. Wuf's free range lettuce,2.67
89,Hunt non GMO tomato and basil sauce,0.26
15,Poe's beef jerky,1.84
110,Jennings' okra,13.1
144,Balik's all-natural spicy salsa,12.96
228,Lake Raleigh grain-free canned chickpeas,10.59
211,Howling Wolf chocolate chip cookies,4.41
247,Witherspoon tonic water,8.8
252,King's orange soda,14.35
239,Balik's cholesterol-free basmati rice,10.06
49,Main Campus ground allspice,14.43
26,1812 birthday cake ice cream,12.44
113,Vet School cage free cottage cheese,3.18
122,Belltower low cholesterol shredded wheat cereal,12.03
233,King's dinner rolls,13.13
161,Wolf Leader spicy taco sauce,7.97
133,Reynold's red potato,10.64
142,1812 free range toothbrush,8.4
7,1812 free range syrup,13.18
256,Wolfpack ground allspice,9.12
238,Dan Allen fat-free aspirin,1.49
192,Belltower low cholesterol shampoo,11.0
166,Wolf Leader smoked sausage,9.13
154,Campus Corner tilapia fillet,10.52
149,Ms. Wuf's carrot sticks,2.63
163,Harrelson no sugar added lemonade,0.3
103,Avent Ferry free range chocolate cake mix,2.37
251,Oval Drive white sandwich bread,1.24
242,Balik's fat-free canned chickpeas,13.46
162,Poe's fresh vanilla wafers,2.89
172,Schmidt's pretzel sticks,4.76
27,Pack Pup diced tomatoes,11.55
194,Stinson low cholesterol seltzer water,10.69
138,Belltower cola,3.17
60,Balik's liquid bleach,8.7
167,Witherspoon spaghetti noodles,14.03
36,Gorman low-sodium ground thyme,5.33
205,Hillsborough gluten-free canned garden peas,7.48
91,Dan Allen low-sodium spicy taco sauce,2.27
56,Reynold's deli ham,2.2
198,Harrelson low-sodium cooked large shrimp,11.56
234,Schmidt's fat-free unsalted butter,2.61
227,Ms. Wuf's all-natural ground allspice,11.41
214,Withers ibuprofen,1.83
119,Gorman orange frosting,12.66
220,Reynold's grits,5.35
73,North Shore gluten-free paper plates,14.68
147,DH Hill lactose-free lemon,5.52
150,Wolfpack all-natural smoked ham hock,3.78
72,1812 ground chicken,13.94
58,Dan Allen cheese crackers,14.05
80,Poe's no MSG added pumpkin pie spice,5.39
160,Centennial chocolate chip cookies,1.11
109,Wolfpack white rice,8.76
125,Howler orange cake mix,6.07
102,King's no MSG added orange,0.67
51,Dan Allen no sugar added beef jerky,13.2
180,Tuffy ground allspice,7.36
112,Pack raw salad shrimp,5.41
44,Leader of the Pack lactose-free canned green beans,1.72
182,Gorman fresh unsalted butter,10.55
65,Wolves Den low cholesterol marinara sauce,5.64
235,Daniels fat-free canned chickpeas,3.94
218,Lake Raleigh grain-free brown rice,13.88
200,Vet School instant mashed red potatoes,5.0
79,Oval Drive iced oatmeal cookies,11.15
35,Western Blvd grain-free saltine crackers,8.2
34,Gorman low cholesterol orange,4.13
250,Wolves Den paper utensils,10.64
217,Howler fat-free cilantro,3.34
74,Wolves Den organic chocolate frosting,14.45
54,Daniels lime,5.76
20,Centennial ground pork,10.21
81,Tuffy toothbrush,5.79
157,Hillsborough lactose-free ground mustard,14.7
207,Harrelson cookie cereal,12.82
